invoice_month_start,country,revenue,orders,customers,quantity
2010-12-01,United Kingdom,748268.98,1447,815,314160
2010-12-01,Germany,15241.14,30,18,6877
2010-12-01,EIRE,10033.26,17,3,5770
2010-12-01,France,9616.31,21,15,4989
2010-12-01,Netherlands,8784.48,3,2,6811
2010-12-01,Japan,7705.07,3,3,4093
2010-12-01,Sweden,3834.3,2,1,3954
2010-12-01,Norway,3787.12,2,1,3582
2010-12-01,Portugal,2439.9700000000003,6,6,984
2010-12-01,Spain,1843.73,4,4,867
2010-12-01,Belgium,1809.91,5,4,1755
2010-12-01,Lithuania,1661.06,4,1,652
2010-12-01,Cyprus,1590.82,1,1,917
2010-12-01,Switzerland,1304.92,2,2,714
2010-12-01,Denmark,1281.5,1,1,454
2010-12-01,Australia,1032.8500000000001,3,2,467
2010-12-01,Finland,892.8,1,1,1254
2010-12-01,Italy,811.5,2,2,295
2010-12-01,Iceland,711.79,1,1,319
2010-12-01,Channel Islands,363.53,1,1,80
2010-12-01,Austria,277.2,1,1,51
2010-12-01,Poland,248.16,1,1,140
2010-12-01,Bahrain,205.74,1,0,54
2011-01-01,United Kingdom,561289.98,971,647,315717
2011-01-01,Netherlands,26611.16,5,2,20417
2011-01-01,EIRE,21904.19,7,2,8794
2011-01-01,France,17740.12,29,24,9199
2011-01-01,Germany,16910.84,31,28,9077
2011-01-01,Spain,10086.09,8,7,3845
2011-01-01,Australia,9017.710000000001,9,7,5644
2011-01-01,Switzerland,4231.23,3,3,2993
2011-01-01,Portugal,4055.71,4,4,2094
2011-01-01,Sweden,3486.3199999999997,2,2,3097
2011-01-01,Greece,2661.24,1,1,526
2011-01-01,Hong Kong,2439.76,1,0,1121
2011-01-01,Italy,2402.51,3,3,1121
2011-01-01,Singapore,2053.07,1,1,1091
2011-01-01,Lebanon,1693.88,1,1,386
2011-01-01,Belgium,1200.2,3,3,792
2011-01-01,Finland,889.02,2,2,765
2011-01-01,Channel Islands,675.58,1,1,259
2011-01-01,Poland,613.22,1,1,288
2011-01-01,Cyprus,547.5,1,1,144
2011-01-01,Iceland,475.39,1,1,315
2011-01-01,Israel,379.84000000000003,1,0,100
2011-02-01,United Kingdom,430027.95,995,679,230269
2011-02-01,Netherlands,23011.91,5,2,16387
2011-02-01,Australia,14695.42,5,4,8680
2011-02-01,EIRE,12248.74,13,2,6004
2011-02-01,Germany,9581.05,19,17,4245
2011-02-01,France,8515.960000000001,21,17,5340
2011-02-01,Japan,5780.8099999999995,2,2,2999
2011-02-01,Cyprus,4334.24,6,4,2191
2011-02-01,Switzerland,2654.92,5,4,1107
2011-02-01,Belgium,2181.07,8,7,1102
2011-02-01,Spain,2114.5,4,4,870
2011-02-01,Channel Islands,1784.71,1,1,935
2011-02-01,Portugal,1213.9,2,2,558
2011-02-01,United Arab Emirates,889.24,1,1,496
2011-02-01,Israel,779.1,1,1,286
2011-02-01,Norway,630.9,2,2,295
2011-02-01,Poland,604.0500000000001,2,2,297
2011-02-01,Czech Republic,549.26,1,1,346
2011-02-01,Austria,518.36,2,2,342
2011-02-01,Sweden,509.5,1,1,250
2011-02-01,Denmark,399.22,1,1,224
2011-02-01,Italy,256.0,1,1,111
2011-02-01,Finland,205.16,1,1,141
2011-02-01,Saudi Arabia,145.92000000000002,1,1,80
2011-03-01,United Kingdom,586230.28,1308,880,304992
2011-03-01,Netherlands,22416.49,8,4,14828
2011-03-01,EIRE,22197.51,23,3,9580
2011-03-01,Australia,17223.99,3,3,10439
2011-03-01,France,14589.55,25,17,8690
2011-03-01,Germany,14392.69,32,24,7739
2011-03-01,Finland,5936.82,5,1,2536
2011-03-01,Spain,5363.15,8,8,2545
2011-03-01,Sweden,4720.58,3,2,5407
2011-03-01,Denmark,3978.9900000000002,1,1,879
2011-03-01,Channel Islands,3509.33,3,3,2104
2011-03-01,Belgium,3351.98,9,8,1783
2011-03-01,Portugal,2660.85,5,4,1626
2011-03-01,Hong Kong,2583.76,1,0,1
2011-03-01,Switzerland,1870.23,3,3,986
2011-03-01,Italy,1806.81,4,3,688
2011-03-01,Austria,1708.1200000000001,2,2,982
2011-03-01,Norway,1265.31,4,1,156
2011-03-01,Cyprus,938.39,1,1,1005
2011-03-01,Greece,387.31,1,1,289
2011-03-01,Poland,317.78,1,1,162
2011-03-01,Canada,140.54,1,1,88
2011-03-01,Japan,48.9,3,3,21
2011-04-01,United Kingdom,476517.761,1153,784,276279
2011-04-01,Germany,12315.54,23,19,5764
2011-04-01,Singapore,8209.58,3,1,1389
2011-04-01,EIRE,7570.5,11,2,4135
2011-04-01,Japan,6548.5,2,2,8058
2011-04-01,France,5529.61,14,14,2287
2011-04-01,Netherlands,2976.56,3,1,1768
2011-04-01,Switzerland,2076.94,4,2,886
2011-04-01,Belgium,1989.48,6,6,1183
2011-04-01,Spain,1785.65,3,3,953
2011-04-01,Finland,1688.92,4,4,818
2011-04-01,Portugal,1687.75,2,2,951
2011-04-01,Hong Kong,1539.64,1,0,732
2011-04-01,Brazil,1143.6,1,1,356
2011-04-01,Sweden,809.1,2,2,310
2011-04-01,Australia,771.6,2,2,225
2011-04-01,Italy,737.83,2,2,653
2011-04-01,Poland,705.84,1,1,432
2011-04-01,Austria,680.78,2,2,311
2011-04-01,Iceland,636.25,1,1,483
2011-04-01,Greece,609.74,1,1,262
2011-04-01,USA,383.95,1,1,137
2011-04-01,Unspecified,299.1,1,1,282
2011-04-01,Channel Islands,293.0,1,1,97
2011-04-01,European Community,191.4,1,1,34
2011-04-01,Israel,110.0,1,0,30
2011-05-01,United Kingdom,639314.36,1523,962,321773
2011-05-01,Netherlands,29185.88,11,4,19936
2011-05-01,Germany,25751.2,42,27,12997
2011-05-01,EIRE,18008.760000000002,22,3,8028
2011-05-01,France,17614.88,39,28,9788
2011-05-01,Australia,13638.41,4,2,8999
2011-05-01,Portugal,4202.2300000000005,5,1,315
2011-05-01,Switzerland,3610.01,3,3,2249
2011-05-01,Spain,3257.6,4,3,1468
2011-05-01,Belgium,2732.4,9,7,1829
2011-05-01,Sweden,2681.98,3,2,2833
2011-05-01,Hong Kong,1966.16,1,0,1262
2011-05-01,Poland,1522.37,3,3,616
2011-05-01,Japan,1351.45,1,1,743
2011-05-01,Austria,1249.43,2,2,476
2011-05-01,Channel Islands,1207.24,2,2,224
2011-05-01,Unspecified,1055.8700000000001,2,1,803
2011-05-01,Italy,587.45,1,1,267
2011-05-01,Bahrain,548.4,2,2,260
2011-05-01,Canada,534.24,1,1,504
2011-05-01,Denmark,515.7,1,1,368
2011-06-01,United Kingdom,619510.67,1383,889,305101
2011-06-01,Netherlands,26858.09,11,5,19744
2011-06-01,Australia,25187.77,4,2,15981
2011-06-01,EIRE,24863.61,28,2,12905
2011-06-01,France,16348.41,31,25,9705
2011-06-01,Germany,13274.1,24,21,7470
2011-06-01,Switzerland,7904.15,4,4,3970
2011-06-01,Norway,5886.860000000001,4,2,2009
2011-06-01,Belgium,4274.82,11,11,2245
2011-06-01,Spain,3333.21,8,8,1538
2011-06-01,Denmark,3261.15,3,3,1544
2011-06-01,Channel Islands,2060.0299999999997,1,1,836
2011-06-01,Japan,1607.04,1,1,2256
2011-06-01,Canada,1171.46,1,1,1092
2011-06-01,Cyprus,1109.32,1,1,356
2011-06-01,Portugal,884.46,3,3,421
2011-06-01,Malta,863.1600000000001,2,1,402
2011-06-01,Sweden,832.0,3,3,404
2011-06-01,Hong Kong,633.96,1,0,537
2011-06-01,European Community,432.05,2,1,130
2011-06-01,Iceland,382.52,1,1,196
2011-06-01,Poland,343.65000000000003,2,2,81
2011-06-01,Finland,329.56,1,1,157
2011-06-01,Italy,202.07,2,2,55
2011-06-01,Unspecified,185.78,1,1,78
2011-07-01,United Kingdom,601994.841,1337,859,334410
2011-07-01,EIRE,42789.85,27,3,22111
2011-07-01,Germany,16440.98,33,26,9096
2011-07-01,France,10000.19,22,18,5664
2011-07-01,Spain,7624.92,9,7,3438
2011-07-01,Sweden,6802.09,3,2,6006
2011-07-01,Australia,4964.38,7,3,5318
2011-07-01,Switzerland,3998.61,6,4,1828
2011-07-01,Singapore,3949.32,1,1,2160
2011-07-01,Japan,3854.4,2,2,2328
2011-07-01,Finland,2996.73,3,3,1273
2011-07-01,Belgium,2475.57,5,4,1679
2011-07-01,Portugal,2287.85,3,3,1436
2011-07-01,Canada,1768.58,2,1,1027
2011-07-01,Israel,1430.75,1,1,633
2011-07-01,Unspecified,1425.41,4,2,1053
2011-07-01,Austria,1191.95,2,2,573
2011-07-01,Norway,890.0699999999999,1,1,586
2011-07-01,Poland,687.3,2,2,288
2011-07-01,European Community,676.8,1,1,335
2011-07-01,Greece,421.24,1,1,244
2011-07-01,Denmark,376.24,1,1,241
2011-07-01,Italy,147.1,1,1,22
2011-07-01,Netherlands,26.02,1,1,10
2011-08-01,United Kingdom,608047.48,1210,834,332758
2011-08-01,Netherlands,40327.81,7,1,29300
2011-08-01,Australia,22489.2,2,2,12570
2011-08-01,Germany,19220.77,39,29,9641
2011-08-01,EIRE,18353.75,19,2,10077
2011-08-01,France,13810.960000000001,28,22,7958
2011-08-01,Switzerland,4969.89,3,3,2998
2011-08-01,Channel Islands,4896.78,5,4,2009
2011-08-01,Israel,4873.81,1,1,3028
2011-08-01,Belgium,3554.02,9,8,2069
2011-08-01,Spain,3346.91,10,6,1600
2011-08-01,Hong Kong,2813.95,2,0,736
2011-08-01,Norway,2025.81,2,2,636
2011-08-01,Italy,1990.95,4,3,1147
2011-08-01,Austria,1516.08,2,2,790
2011-08-01,Sweden,1400.86,5,4,1314
2011-08-01,Finland,1376.5,3,2,693
2011-08-01,Portugal,1221.4,1,1,1026
2011-08-01,Malta,1119.0,2,2,382
2011-08-01,Iceland,584.91,1,1,277
2011-08-01,Unspecified,531.03,2,2,185
2011-08-01,Poland,401.8,2,2,186
2011-08-01,Denmark,213.15,1,1,338
2011-08-01,Canada,51.559999999999995,1,1,52
2011-09-01,United Kingdom,897076.472,1645,1146,479040
2011-09-01,EIRE,43086.55,38,2,23086
2011-09-01,Netherlands,26937.26,7,2,17309
2011-09-01,France,23428.04,45,36,13002
2011-09-01,Germany,18091.22,41,31,11156
2011-09-01,Norway,8678.94,6,5,4655
2011-09-01,Switzerland,8284.86,7,5,4255
2011-09-01,Spain,5189.24,8,6,2683
2011-09-01,Australia,5106.7300000000005,8,6,4079
2011-09-01,Sweden,4575.21,3,3,4344
2011-09-01,Denmark,4570.160000000001,3,3,1608
2011-09-01,Belgium,4208.02,7,7,1969
2011-09-01,Hong Kong,2653.95,1,0,1
2011-09-01,Portugal,1433.22,3,3,899
2011-09-01,Channel Islands,1323.75,2,2,764
2011-09-01,Finland,1105.45,4,4,515
2011-09-01,United Arab Emirates,1013.04,2,1,486
2011-09-01,Poland,529.25,2,2,253
2011-09-01,Israel,423.73,1,0,233
2011-09-01,Unspecified,286.85,1,0,258
2011-09-01,Italy,279.8,1,1,48
2011-09-01,Cyprus,196.35,1,1,33
2011-09-01,Japan,112.08,1,1,144
2011-10-01,United Kingdom,938975.01,1811,1230,505633
2011-10-01,Netherlands,40708.65,15,4,27230
2011-10-01,France,33485.450000000004,35,27,13807
2011-10-01,Germany,31638.420000000002,58,38,17740
2011-10-01,EIRE,24317.920000000002,31,2,15904
2011-10-01,Australia,17150.53,4,2,7401
2011-10-01,Spain,8636.94,8,7,4352
2011-10-01,Switzerland,8065.18,8,5,4866
2011-10-01,Singapore,7067.32,2,1,601
2011-10-01,Portugal,6206.67,10,5,3286
2011-10-01,Sweden,5766.16,3,2,6151
2011-10-01,Belgium,5685.38,11,9,3170
2011-10-01,Cyprus,4412.87,4,4,1415
2011-10-01,Norway,3687.23,7,5,1692
2011-10-01,Italy,3489.69,7,5,1597
2011-10-01,Finland,2822.12,6,5,1115
2011-10-01,Channel Islands,2623.32,5,2,1407
2011-10-01,USA,2311.2,2,2,1717
2011-10-01,Japan,1948.0400000000002,2,2,1124
2011-10-01,Denmark,1490.76,3,3,869
2011-10-01,Iceland,1294.32,1,1,676
2011-10-01,Austria,1043.78,1,1,491
2011-10-01,RSA,1002.3100000000001,1,1,351
2011-10-01,Hong Kong,734.52,2,0,382
2011-10-01,Czech Republic,277.48,1,1,325
2011-10-01,Israel,138.03,2,1,99
2011-11-01,United Kingdom,1325346.21,2490,1505,654992
2011-11-01,France,31758.71,64,39,17889
2011-11-01,EIRE,30738.43,42,2,16657
2011-11-01,Germany,28025.02,68,44,13453
2011-11-01,Netherlands,25874.01,15,4,18663
2011-11-01,Spain,8678.96,14,12,3507
2011-11-01,Japan,8460.08,2,2,4250
2011-11-01,Switzerland,8118.96,6,4,3777
2011-11-01,Australia,7242.72,6,3,4098
2011-11-01,Norway,6527.5,5,5,3406
2011-11-01,Belgium,6315.76,11,8,2560
2011-11-01,Italy,4571.08,9,9,2063
2011-11-01,Finland,3070.24,8,5,1087
2011-11-01,Sweden,2722.23,5,5,1973
2011-11-01,Denmark,2699.57,2,2,1537
2011-11-01,Portugal,2644.9,10,7,1093
2011-11-01,Channel Islands,1514.77,3,2,716
2011-11-01,Poland,1361.23,2,2,941
2011-11-01,Austria,1329.78,2,2,717
2011-11-01,Unspecified,965.75,2,0,641
2011-11-01,Malta,743.43,1,1,186
2011-11-01,Cyprus,460.89,1,1,300
2011-11-01,Hong Kong,326.1,1,0,1
2011-12-01,United Kingdom,592622.09,746,560,287266
2011-12-01,Netherlands,11728.02,3,1,7958
2011-12-01,Germany,7984.17,17,12,4006
2011-12-01,EIRE,7340.89,10,1,4122
2011-12-01,France,7276.92,18,17,3785
2011-12-01,Portugal,2808.19,4,4,1569
2011-12-01,Norway,2785.7000000000003,3,2,2319
2011-12-01,Belgium,1417.73,4,4,1101
2011-12-01,Finland,1232.76,3,3,350
2011-12-01,USA,885.24,2,2,604
2011-12-01,Austria,683.2,1,1,148
2011-12-01,Greece,680.99,1,1,236
2011-12-01,Spain,316.21,2,2,274
2011-12-01,Sweden,238.0,1,1,40
2011-12-01,Iceland,224.82,1,1,192
2011-12-01,Italy,200.45,1,1,45
2011-12-01,Channel Islands,198.4,1,1,60
2011-12-01,Denmark,168.9,1,1,173
